HocoNum,TechType,HighSpeed,population
130002,DSL,0,26217
130002,FTTH,0,11121
130005,DSL,0,93
130008,DSL,0,78838
130008,FTTH,1,43138
130008,Other,0,20892
130010,DSL,0,59410
130010,Other,0,83687
130011,FTTH,0,335
130012,DSL,0,28086
130012,FTTH,1,44757
130012,Other,0,67877
130017,DSL,0,385
130018,DSL,0,48291
130019,FTTH,1,214740
130019,Other,0,619093
130028,DSL,0,317883
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9650
130032,DSL,0,6636
130032,FTTH,1,5935
130032,Other,0,4
130034,DOCSIS,0,283
130034,DSL,0,3690
130034,FTTH,0,33300
130034,Other,0,5675
130035,DOCSIS,0,9183
130035,FTTH,1,9183
130036,DSL,0,3243
130036,FTTH,0,3264
130037,DOCSIS,0,12576
130037,DSL,0,15526
130037,FTTH,1,28879
130037,Other,0,14429
130039,DOCSIS,0,41347
130039,FTTH,0,32098
130040,FTTH,0,35185
130043,FTTH,0,741
130044,DOCSIS,0,29329
130044,DSL,0,17840
130044,FTTH,0,309
130045,DSL,0,6994
130045,FTTH,0,5293
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21251
130057,FTTH,0,1200
130057,FTTH,1,373
130058,DSL,0,11896
130058,FTTH,1,12620
130059,FTTH,1,511
130059,Other,0,442937
130061,Other,0,9296
130062,Other,0,404018
130065,DOCSIS,0,771
130065,DSL,0,4751
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,5814
130067,DSL,0,8139
130068,DSL,0,30720
130068,FTTH,0,6019
130068,FTTH,1,51571
130069,DSL,0,14839
130070,DSL,0,202
130070,FTTH,1,11458
130071,DOCSIS,1,976086
130071,DSL,0,49898
130073,DSL,0,69
130073,FTTH,0,3494
130074,DOCSIS,0,58044
130074,DSL,0,116294
130074,FTTH,1,31140
130074,Other,0,84171
130077,DSL,0,121758344
130077,FTTH,1,15242720
130077,Other,0,247
130079,DOCSIS,0,122
130079,DOCSIS,1,5199815
130079,DSL,0,95672
130079,FTTH,1,872042
130081,Other,0,127554
130082,DOCSIS,1,44095
130082,DSL,0,65886
130082,FTTH,1,23909
130083,DSL,0,2095
130084,DOCSIS,0,1191
130086,DOCSIS,0,1316
130086,DSL,0,21335
130086,FTTH,0,763
130086,Other,0,33785
130087,DSL,0,2506
130087,FTTH,0,380
130090,DSL,0,1180
130090,FTTH,0,172
130090,FTTH,1,766
130090,Other,0,7742
130092,FTTH,0,3011
130093,DOCSIS,0,17242
130093,DSL,0,2198
130093,FTTH,0,22586
130094,DSL,0,241
130094,FTTH,0,12677
130095,DSL,0,11547
130095,FTTH,0,6472
130096,DSL,0,2610
130097,DSL,0,18822
130097,FTTH,0,3754
130097,Other,0,128026
130098,FTTH,1,10530
130098,Other,0,137184
130103,DOCSIS,0,1847
130103,Other,0,76648
130104,DSL,0,17825
130104,FTTH,0,1949
130105,Other,0,23496
130106,DOCSIS,0,8288
130106,DSL,0,2530
130106,FTTH,0,409
130106,FTTH,1,3331
130106,Other,0,1594
130107,DSL,0,5128
130108,FTTH,1,27322
130112,DSL,0,95085
130112,FTTH,0,16060
130112,FTTH,1,8712
130114,DSL,0,3570
130114,FTTH,0,2693
130114,Other,0,19254
130115,DOCSIS,0,9552
130115,DSL,0,15193
130115,FTTH,0,4147
130115,Other,0,19514
130116,DSL,0,1809
130116,FTTH,0,127845
130116,Other,0,2987258
130118,DSL,0,2101
130119,DSL,0,374
130119,FTTH,0,658
130120,FTTH,0,11236
130120,Other,0,7107
130122,DSL,0,258062
130122,FTTH,0,973
130122,FTTH,1,2289
130122,Other,0,389
130123,DSL,0,19068
130123,FTTH,0,2040
130123,FTTH,1,3154
130123,Other,0,41349
130124,DSL,0,22216
130124,Other,0,12999
130126,DSL,0,2295
130126,FTTH,0,1080
130126,Other,0,20351
130127,DSL,0,127478
130130,DSL,0,26275
130130,DSL,1,4824
130130,FTTH,0,17623
130130,FTTH,1,7049
130132,DSL,0,69833
130132,FTTH,0,6714
130132,FTTH,1,4564
130132,Other,0,12385
130133,DSL,0,578
130133,FTTH,0,283
130133,FTTH,1,4316
130133,Other,0,36951
130134,DSL,0,3798
130136,DSL,0,30555
130136,FTTH,1,8303
130137,DOCSIS,0,260840
130137,DOCSIS,1,549568
130138,DSL,0,50
130138,FTTH,1,7185
