HocoNum,TechType,HighSpeed,population
130002,DSL,0,27888
130002,FTTH,0,8950
130005,DSL,0,93
130008,DSL,0,78838
130008,FTTH,1,44707
130008,Other,0,20892
130010,DSL,0,59410
130010,Other,0,78461
130011,FTTH,0,335
130012,DSL,0,28086
130012,FTTH,0,2417
130012,FTTH,1,33157
130012,Other,0,104537
130017,DSL,0,347
130018,DSL,0,48291
130019,FTTH,1,102445
130019,Other,0,865027
130028,DSL,0,294550
130029,DSL,0,12790
130029,Other,0,9699
130031,FTTH,1,9650
130032,DSL,0,7594
130032,FTTH,0,5377
130032,Other,0,4
130034,DOCSIS,0,283
130034,DSL,0,3690
130034,FTTH,0,33300
130034,Other,0,5675
130035,DOCSIS,0,8736
130035,FTTH,1,8736
130036,DSL,0,3278
130036,FTTH,0,2968
130037,DOCSIS,0,12576
130037,DSL,0,15526
130037,FTTH,0,27309
130037,Other,0,14429
130039,DOCSIS,0,41347
130039,FTTH,0,32098
130040,FTTH,0,31994
130043,FTTH,0,741
130044,DOCSIS,0,29151
130044,DSL,0,18327
130045,DSL,0,7001
130045,FTTH,0,5293
130045,Other,0,1991
130046,DOCSIS,0,1916
130057,DOCSIS,0,21583
130057,DSL,0,21251
130057,FTTH,0,756
130058,DSL,0,11896
130058,FTTH,1,10632
130059,FTTH,1,390
130059,Other,0,452737
130061,Other,0,9296
130062,Other,0,406110
130065,DOCSIS,0,771
130065,DSL,0,4751
130065,Other,0,76387
130066,DSL,0,663
130066,FTTH,0,5070
130067,DSL,0,8139
130068,DSL,0,30689
130068,FTTH,0,1300
130069,DSL,0,14898
130070,DSL,0,2480
130070,FTTH,0,9086
130071,DOCSIS,1,947765
130071,DSL,0,50223
130073,DSL,0,3381
130073,FTTH,0,3397
130074,DOCSIS,0,58044
130074,DSL,0,112257
130074,FTTH,1,28301
130074,Other,0,84171
130077,DSL,0,121233906
130077,DSL,1,44856
130077,FTTH,0,620351
130077,FTTH,1,1206439
130077,Other,0,386
130079,DOCSIS,1,4968357
130079,DSL,0,113756
130079,FTTH,1,824470
130081,DSL,0,217781
130081,DSL,1,668
130081,Other,0,125120
130082,DOCSIS,0,42504
130082,DSL,0,65886
130082,FTTH,1,22441
130083,DSL,0,2127
130084,DOCSIS,0,1191
130086,DOCSIS,0,1096
130086,DSL,0,21282
130086,FTTH,0,211
130086,Other,0,34723
130087,DSL,0,2506
130087,FTTH,0,139
130090,DSL,0,1180
130090,FTTH,0,172
130090,Other,0,7723
130092,FTTH,0,1995
130093,DOCSIS,0,17242
130093,DSL,0,2198
130093,FTTH,0,22586
130094,DSL,0,4989
130094,FTTH,0,7929
130095,DSL,0,11037
130095,FTTH,0,6521
130096,DSL,0,2604
130097,DSL,0,18822
130097,FTTH,0,3754
130097,Other,0,128026
130098,FTTH,0,10530
130098,Other,0,96198
130103,DOCSIS,0,1495
130103,Other,0,78275
130104,DSL,0,17254
130104,FTTH,0,1862
130105,Other,0,26172
130106,DOCSIS,0,8288
130106,DSL,0,2524
130106,FTTH,0,409
130106,FTTH,1,3323
130106,Other,0,1594
130107,DSL,0,5109
130108,FTTH,1,26787
130112,DSL,0,27132
130112,FTTH,0,11170
130112,FTTH,1,64597
130114,DSL,0,3570
130114,FTTH,0,2506
130114,Other,0,19223
130115,DOCSIS,0,10350
130115,DSL,0,17135
130115,FTTH,0,8891
130115,Other,0,19514
130116,DSL,0,1809
130116,FTTH,0,127845
130116,Other,0,2979956
130118,DSL,0,2101
130119,DSL,0,374
130119,FTTH,0,658
130120,FTTH,0,10671
130120,Other,0,10671
130122,DSL,0,283303
130122,FTTH,0,1148
130122,FTTH,1,2920
130122,Other,0,300
130123,DSL,0,19068
130123,FTTH,0,2467
130123,Other,0,41349
130124,DSL,0,25264
130124,Other,0,12999
130126,DSL,0,3360
130126,Other,0,20351
130127,DSL,0,166160
130130,DSL,0,27680
130130,DSL,1,5
130130,FTTH,0,15998
130130,FTTH,1,6718
130132,DSL,0,61663
130132,Other,0,11911
130133,DSL,0,578
130133,FTTH,0,283
130133,FTTH,1,1129
130133,Other,0,36953
130134,DSL,0,3792
130136,DSL,0,30552
130136,FTTH,1,3886
130137,DOCSIS,0,249612
130137,DOCSIS,1,548954
130137,FTTH,1,10514
130138,DSL,0,3352
130138,FTTH,1,6589
130139,DSL,0,1429
130139,FTTH,0,267
130140,DSL,0,5289
130140,FTTH,0,10909
130141,DSL,0,1033
130141,FTTH,0,2699
130142,DOCSIS,0,4423
130142,DSL,0,49749
130142,FTTH,1,14516
130144,DOCSIS,0,6519
130144,FTTH,0,8282
130144,Other,0,10268
130146,Other,0,732051
130148,DSL,0,3504
130149,DOCSIS,0,34011
130150,DSL,0,148066
130150,FTTH,0,88004
130151,FTTH,1,17285
130152,DSL,0,12613
130153,DSL,0,10298
130154,DSL,0,15268
130154,FTTH,1,12660
130154,Other,0,14079
130160,DSL,0,1739
130161,Other,0,284110
130168,DOCSIS,0,8136
130169,DOCSIS,0,220
130169,DSL,0,5553
130170,DSL,0,3115
130170,FTTH,0,349
130171,DSL,0,294
130171,Other,0,237
130175,DSL,0,8207
130175,Other,0,63302
130176,FTTH,0,30751
130176,FTTH,1,39466
130178,FTTH,0,234
130179,DOCSIS,0,1558
130179,DSL,0,3160
130179,FTTH,0,5520
130183,DOCSIS,0,6987
130183,DOCSIS,1,3224793
130184,DOCSIS,0,22947
130189,DSL,0,8150
130189,FTTH,0,1847
130189,Other,0,3362
130192,DSL,0,5776
130193,DSL,0,7934
130193,FTTH,0,7841
130193,Other,0,968
130195,DSL,0,3072
130196,DSL,0,20070
130196,FTTH,0,1533
130196,FTTH,1,19025
130199,DSL,0,4105
130199,FTTH,0,5186
130201,DSL,0,3055
130202,DOCSIS,0,49395
130203,DSL,0,2325
130204,DSL,0,1425
130204,FTTH,0,2844
130206,DSL,0,16790
130206,FTTH,0,24879
130206,Other,0,0
130207,DSL,0,1505
130208,DOCSIS,0,44640
130208,DSL,0,6327
130208,FTTH,0,2692
130208,Other,0,33192
130210,DSL,0,2615
130218,FTTH,1,40971
130218,Other,0,27027
130223,DSL,0,1108
130224,DSL,0,8747
130224,FTTH,1,0
130226,DSL,0,10128
130226,FTTH,0,1420
130226,Other,0,12996
130227,DSL,0,8917
130227,FTTH,0,7503
130227,Other,0,358665
130228,DSL,0,48443002
130228,DSL,1,1436
130228,FTTH,0,509525
130228,FTTH,1,3004446
130228,Other,0,456
130233,DSL,0,2279
130234,DSL,0,9852
130234,FTTH,1,17451
130234,Other,0,135630
130235,DOCSIS,0,60265230
130235,DOCSIS,1,40768716
130235,FTTH,1,24301
130237,DOCSIS,0,16453
130238,DSL,0,8521
130238,FTTH,0,3755
130239,DSL,0,7603
130239,FTTH,1,10639
130240,DSL,0,16345
130240,FTTH,0,640
130241,DOCSIS,0,12558
130241,DSL,0,12246
130242,DOCSIS,0,93007
130242,DSL,0,40177
130242,FTTH,0,6052
130243,FTTH,0,5779
130244,DSL,0,25305
130244,FTTH,0,4372
130245,DSL,0,70393
130250,DSL,0,3423
130250,FTTH,0,1275
130250,Other,0,1287
130252,DSL,0,18175
130252,FTTH,0,15719
130254,DOCSIS,0,20040
130254,DSL,0,1612325
130254,FTTH,0,19135
130254,FTTH,1,1206665
130258,DSL,0,27474306
130258,DSL,1,2477045
130258,FTTH,0,10072299
130259,DSL,0,4181
130259,FTTH,1,6424
130263,DOCSIS,0,13310
130263,DSL,0,7907
130264,DOCSIS,0,18811
130264,DSL,0,61
130264,FTTH,1,19154
130265,DOCSIS,0,3301
130265,DSL,0,13046
130265,FTTH,0,2397
130266,DOCSIS,0,10528
130266,DSL,0,16593
130266,FTTH,0,2051
130267,DSL,1,1198
130267,FTTH,1,5211
130268,DSL,0,5639
130268,FTTH,0,792
130269,DOCSIS,0,1508
130269,DSL,0,5313
130269,FTTH,0,6768
130270,FTTH,0,4526
130271,DSL,0,21994
130271,FTTH,1,21994
130272,DOCSIS,0,8973
130274,DSL,0,422
130274,FTTH,0,214
130275,DSL,0,13436
130275,FTTH,0,13323
130275,Other,0,28
130278,DOCSIS,0,29309
130279,FTTH,0,7388
130279,Other,0,105522
130281,DOCSIS,0,29702
130282,DOCSIS,0,25738
130282,FTTH,0,25738
130283,FTTH,0,4851
130285,DSL,0,3511
130285,FTTH,0,4857
130285,Other,0,3511
130287,DSL,0,654
130288,FTTH,1,34831
130289,DOCSIS,0,12320
130289,DSL,0,11792
130290,DSL,0,3886
130290,FTTH,0,2278
130290,FTTH,1,6060
130291,DOCSIS,0,2593
130291,DSL,0,3606
130292,DSL,0,299558
130299,DSL,0,5390
130299,FTTH,0,3644
130300,DSL,0,13046
130300,FTTH,1,20540
130302,FTTH,0,9144
130303,DOCSIS,0,7417
130305,FTTH,1,3096
130307,DSL,0,2953
130307,FTTH,0,1575
130307,Other,0,7887
130309,FTTH,1,985
130309,Other,0,118076
130310,FTTH,0,3879
130311,DSL,0,14422
130311,Other,0,25206
130312,DSL,0,3296
130312,FTTH,0,3048
130314,FTTH,1,9582
130315,DSL,0,17831
130315,Other,0,41876
130316,Other,0,269895
130317,DOCSIS,0,520138
130317,DOCSIS,1,108262412
130321,FTTH,0,7593
130322,DOCSIS,1,67727
130324,Other,0,5184
130325,Other,0,3751
130326,DSL,0,3925
130326,Other,0,3839
130327,DSL,0,3634
130329,DSL,0,12220
130329,DSL,1,0
130329,Other,0,47069
130331,Other,0,225717
130334,DOCSIS,0,73728
130334,DSL,0,3760
130334,FTTH,0,14376
130335,DOCSIS,0,100775
130335,DSL,0,1014890
130335,FTTH,0,93709
130335,FTTH,1,529695
130337,DOCSIS,0,18326
130337,DSL,0,574
130337,FTTH,0,35968
130337,Other,0,34521
130338,DSL,0,26214
130338,FTTH,0,180
130338,FTTH,1,28305
130338,Other,0,1100
130340,DOCSIS,0,60799
130343,DSL,0,6358
130344,DSL,0,5246
130344,Other,0,5246
130345,DSL,0,3961
130345,FTTH,0,1903
130346,DSL,0,5523
130346,Other,0,5523
130347,FTTH,0,3248
130349,DSL,0,6569
130352,DSL,0,2109
130353,FTTH,0,2490
130353,Other,0,1029
130360,DOCSIS,0,22706
130360,DOCSIS,1,20579395
130360,FTTH,1,830323
130361,DSL,0,1150
130361,FTTH,0,4059
130362,DSL,0,12791
130362,FTTH,0,12825
130363,DSL,0,5384
130363,FTTH,1,10491
130364,DSL,0,30952
130364,FTTH,1,1047
130364,Other,0,1515
130366,DSL,0,21455
130366,FTTH,0,313
130367,DOCSIS,0,230
130367,DSL,0,1229
130367,FTTH,0,1698
130368,DSL,0,806
130369,DSL,0,1729
130369,FTTH,0,5017
130370,DOCSIS,0,744561
130370,DOCSIS,1,17611486
130374,DSL,0,7285
130374,Other,0,7285
130375,DSL,0,8853
130375,FTTH,0,3072
130378,DOCSIS,0,3403
130378,DSL,0,2871
130378,FTTH,0,4952
130378,Other,0,5684
130380,DSL,0,10586
130380,FTTH,0,3291
130380,Other,0,1118
130385,DOCSIS,1,44324
130385,DSL,0,29143
130385,FTTH,1,18635
130385,Other,0,26139
130386,DSL,0,25556
130386,FTTH,0,5164
130387,FTTH,1,24584
130387,Other,0,1166
130390,DSL,0,6592
130390,FTTH,1,12263
130390,Other,0,12263
130391,DOCSIS,0,11892
130391,DSL,0,4428
130391,FTTH,0,3614
130393,DSL,0,14986
130393,FTTH,0,14986
130395,DSL,0,9637
130396,DSL,0,47010
130396,FTTH,0,5415
130398,DSL,0,6085
130398,FTTH,0,6085
130399,DSL,0,2410
130399,FTTH,0,6190
130400,DSL,0,1246
130400,FTTH,0,4390
130400,Other,0,20452
130401,DSL,0,29269
130401,FTTH,0,423
130401,Other,0,616
130402,Other,0,799
130405,FTTH,1,19276
130405,Other,0,34423
130416,DOCSIS,0,10424
130416,DSL,0,10491
130416,FTTH,0,16148
